Commodity_ID,Country_Name,HS_Code,HS_Suffix,HS_Version,Description,Short_Description,CommodityClass_Name,CommodityClass_Code,shared_group_code,Country_Code
"1","","100110","","HS2007","Wheat and meslin. - Durum wheat.","Durum wheat","Wheat","1","",""
"2","","100111","","HS2012","Wheat and meslin. - Durum wheat : -- Seed.","Durum wheat seed for sowing","Wheat","1","",""
"3","","100119","","HS2012","Wheat and meslin. - Durum wheat : -- Other.","Durum wheat (excl. seed for sowing)","Wheat","1","",""
"4","","100190","","HS2007","Wheat and meslin. - Other.","Wheat and meslin (excl. durum wheat)","Wheat","1","",""
"5","","100191","","HS2012","Wheat and meslin. - Other : -- Seed.","Seed of wheat and meslin, for sowing (excl. durum)","Wheat","1","",""
"6","","100199","","HS2012","Wheat and meslin. - Other : -- Other.","Wheat and meslin (excl. seed for sowing, and durum wheat)","Wheat","1","",""
"8","","100510","","HS2012","Maize (corn). - Seed.","Maize seed for sowing","Maize","3","",""
"10","","100590","","HS2012","Maize (corn). - Other.","Maize (excl. seed for sowing)","Maize","3","",""
"14","","100610","","HS2012","Rice. - Rice in the husk (paddy or rough).","Rice in the husk, paddy or rough","Rice","2","",""
"16","","100620","","HS2012","Rice. - Husked (brown) rice.","Husked or brown rice","Rice","2","",""
"18","","100630","","HS2012","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed.","Semi-milled or wholly milled rice, whether or not polished or glazed","Rice","2","",""
"20","","100640","","HS2012","Rice. - Broken rice.","Broken rice","Rice","2","",""
"21","","110100","","HS2007","Wheat or meslin flour.","Wheat or meslin flour","Wheat","1","",""
"22","","110100","","HS2012","Wheat or meslin flour.","Wheat or meslin flour","Wheat","1","",""
"24","","110220","","HS2012","Cereal flours other than of wheat or meslin. - Maize (corn) flour.","Maize (corn) flour","Maize","3","",""
"26","","110290","","HS2012","Cereal flours other than of wheat or meslin. - Other.","Cereal flours (excl. wheat, meslin and maize)","Rice","2","",""
"28","","110311","","HS2012","Cereal groats, meal and pellets. - Groats and meal : -- Of wheat.","Groats and meal of wheat","Wheat","1","",""
"30","","110313","","HS2012","Cereal groats, meal and pellets. - Groats and meal : -- Of maize (corn).","Groats and meal of maize (corn)","Maize","3","",""
"31","","110319","","HS2012","Cereal groats, meal and pellets. - Groats and meal : -- Of other cereals.","Groats and meal of cereals (excl. wheat and maize)","Rice","2","",""
"33","","110419","","HS2012","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Rolled or flaked grains: -- Of other cereals.","Rolled or flaked grains of cereals (excl. oats)","Maize + Rice + Wheat","11","",""
"35","","110423","","HS2012","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Other worked grains (for example, hulled, pearled, sliced or kibbled): -- O","Hulled, pearled, sliced, kibbled or otherwise worked maize grains (excl. rolled, flaked, pellets and flour)","Maize","3","",""
"37","","110429","","HS2012","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Other worked grains (for example, hulled, pearled, sliced or kibbled): -- O","Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excl. rolled, flaked, flour, pellets, and oats and maize, and husked and semi- or wholly milled rice and broken rice)","Rice + Wheat","12","",""
"39","","110430","","HS2012","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Germ of cereals, whole, rolled, flaked or ground.","Germ of cereals, whole, rolled, flaked or ground","Maize + Rice + Wheat","11","",""
"41","","110811","","HS2012","Starches; inulin. - Starches : -- Wheat starch.","Wheat starch","Wheat","1","",""
"43","","110812","","HS2012","Starches; inulin. - Starches : -- Maize (corn) starch.","Maize starch","Maize","3","",""
"45","","110819","","HS2012","Starches; inulin. - Starches : -- Other starches.","Starch (excl. wheat, maize, potato and manioc)","Rice","2","",""
"49","","120110","","HS2012","Soya beans, whether or not broken. - Seed.","Soya bean seed, for sowing","Soybeans","4","",""
"50","","120190","","HS2012","Soya beans, whether or not broken. - Other.","Soya beans, whether or not broken (excl. seed for sowing)","Soybeans","4","",""
"52","","120810","","HS2012","Flours and meals of oil seeds or oleaginous fruits, other than those of mustard. - Of soya beans.","Soya bean flour and meal","Soybeans","4","",""
"54","","150710","","HS2012","Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Crude oil, whether or not degummed.","Crude soya-bean oil, whether or not degummed","Soybeans","4","",""
"56","","150790","","HS2012","Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Other.","Soya-bean oil and its fractions, whether or not refined (excl. chemically modified and crude)","Soybeans","4","",""
"58","","151521","","HS2012","Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified. - Maize (corn) oil and its fractions : -- Crude oil.","Crude maize oil","Maize","3","",""
"60","","151529","","HS2012","Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified. - Maize (corn) oil and its fractions : -- Other.","Maize oil and fractions thereof, whether or not refined, but not chemically modified (excl. crude)","Maize","3","",""
"61","","151590","","HS2012","Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified. - Other.","Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically modified","Rice","2","",""
